seed,branch,answers,mean_judge_z,mean_proxy_z,high_gap_rate,mean_response_tokens,completion_eos_rate,length_capped_rate,refusal_diagnostic_rate
42,proxy,512,-0.2118633675912502,-0.26169688159466165,0.033203125,138.0,0.779296875,0.220703125,0.28125
42,knn,512,-0.20757320287276165,-0.3010149212343762,0.03515625,122.919921875,0.826171875,0.173828125,0.341796875
43,proxy,512,-0.18768164632898168,-0.22381489118723988,0.033203125,144.107421875,0.75,0.25,0.294921875
43,knn,512,-0.1785926148883477,-0.2691371877955373,0.037109375,118.9921875,0.826171875,0.173828125,0.361328125
44,proxy,512,-0.19201319465445738,-0.22483438328855512,0.048828125,136.7421875,0.7734375,0.2265625,0.29296875
44,knn,512,-0.22519543717037743,-0.30795694897128495,0.041015625,127.732421875,0.8046875,0.1953125,0.353515625
